goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1681651	       629.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1941628	       622.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/cold/go-envconfig-6  	 1959838	       620.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2054744	       578.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2050074	       588.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 1997968	       601.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 1971972	       582.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2032347	       567.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 1931004	       594.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2079978	       589.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2062244	       571.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2070085	       611.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/go-envconfig-6  	 2099638	       584.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  361687	      2774 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  403953	      2853 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  409884	      2848 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  425502	      2785 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  439980	      2778 ns/op	    1256 B/op	      57 allocs/op
